学号,姓名,考试名称,语文,数学,英语,物理,化学
S2023100,魏秀芳,月考1,75,58,42,64,59
S2023101,杨雪,月考1,40,100,97,64,40
S2023102,贾莉,月考1,57,52,42,48,41
S2023103,张东,月考1,58,57,71,40,69
S2023104,张波,月考1,44,40,42,56,60
S2023105,魏明,月考1,62,76,80,78,61
S2023106,张荣,月考1,54,74,58,43,83
S2023107,何桂花,月考1,76,84,57,41,58
S2023108,李丽华,月考1,77,52,59,84,45
S2023109,王佳,月考1,40,74,44,56,65
S2023110,钟宁,月考1,43,66,100,40,82
S2023111,王冬梅,月考1,40,53,66,40,56
S2023112,萧博,月考1,61,59,57,65,51
S2023113,乔桂英,月考1,84,64,72,41,61
S2023114,梁华,月考1,78,93,86,40,65
S2023115,马英,月考1,61,96,75,81,57
S2023116,林秀云,月考1,71,51,60,79,40
S2023117,陈红,月考1,95,65,77,40,62
S2023118,张丽丽,月考1,77,71,51,56,46
S2023119,沈娜,月考1,82,67,58,53,40
S2023120,林欢,月考1,59,62,48,40,69
S2023121,陈伟,月考1,66,61,58,74,50
S2023122,李杨,月考1,60,68,66,64,63
S2023123,彭娟,月考1,78,75,80,52,40
S2023124,楼帆,月考1,91,96,40,48,43
S2023125,汪小红,月考1,55,46,68,51,45
S2023126,李玉梅,月考1,81,79,90,66,70
S2023127,李波,月考1,74,87,74,72,56
S2023128,齐小红,月考1,40,49,56,53,77
S2023129,米冬梅,月考1,57,52,40,73,78
S2023130,王杨,月考1,60,40,86,41,72
S2023131,赖想,月考1,57,40,74,52,56
S2023132,毛波,月考1,67,64,55,44,66
S2023133,梅丹,月考1,83,100,75,71,49
S2023134,程刚,月考1,59,64,48,46,40
S2023135,王洁,月考1,63,60,100,61,51
S2023136,王颖,月考1,48,69,70,40,61
S2023137,潘佳,月考1,100,40,73,70,84
S2023138,宋佳,月考1,45,71,64,42,65
S2023139,陈建平,月考1,59,78,40,51,59
