学号,姓名,考试名称,语文,数学,英语,物理,化学
S2023100,魏秀芳,期中考试,62,57,47,59,57
S2023101,杨雪,期中考试,40,100,94,70,40
S2023102,贾莉,期中考试,40,54,45,60,52
S2023103,张东,期中考试,46,47,63,45,74
S2023104,张波,期中考试,40,43,41,53,85
S2023105,魏明,期中考试,48,68,70,93,73
S2023106,张荣,期中考试,43,68,65,43,94
S2023107,何桂花,期中考试,61,79,57,46,74
S2023108,李丽华,期中考试,53,49,61,78,52
S2023109,王佳,期中考试,40,63,45,67,77
S2023110,钟宁,期中考试,40,61,100,40,88
S2023111,王冬梅,期中考试,40,44,63,40,61
S2023112,萧博,期中考试,55,59,64,68,73
S2023113,乔桂英,期中考试,75,51,71,42,74
S2023114,梁华,期中考试,64,76,93,40,76
S2023115,马英,期中考试,54,95,70,95,51
S2023116,林秀云,期中考试,66,49,70,81,61
S2023117,陈红,期中考试,70,56,70,44,84
S2023118,张丽丽,期中考试,64,65,63,50,62
S2023119,沈娜,期中考试,77,68,62,50,40
S2023120,林欢,期中考试,51,59,51,40,88
S2023121,陈伟,期中考试,60,69,54,77,51
S2023122,李杨,期中考试,54,65,74,66,74
S2023123,彭娟,期中考试,62,59,73,58,50
S2023124,楼帆,期中考试,55,81,43,49,50
S2023125,汪小红,期中考试,40,40,51,47,66
S2023126,李玉梅,期中考试,63,72,88,73,78
S2023127,李波,期中考试,60,66,77,82,71
S2023128,齐小红,期中考试,40,43,52,57,90
S2023129,米冬梅,期中考试,40,50,48,81,82
S2023130,王杨,期中考试,48,40,90,50,66
S2023131,赖想,期中考试,44,40,67,52,64
S2023132,毛波,期中考试,62,72,51,55,71
S2023133,梅丹,期中考试,54,89,70,77,71
S2023134,程刚,期中考试,44,57,56,44,52
S2023135,王洁,期中考试,49,44,100,67,54
S2023136,王颖,期中考试,49,54,79,51,66
S2023137,潘佳,期中考试,74,40,68,69,98
S2023138,宋佳,期中考试,40,50,75,47,84
S2023139,陈建平,期中考试,52,84,40,48,64
